state,county_fips,county_name
FL,12001,Alachua County
FL,12003,Baker County
FL,12005,Bay County
FL,12007,Bradford County
FL,12009,Brevard County
FL,12011,Broward County
FL,12013,Calhoun County
FL,12015,Charlotte County
FL,12017,Citrus County
FL,12019,Clay County
FL,12021,Collier County
FL,12023,Columbia County
FL,12027,DeSoto County
FL,12029,Dixie County
FL,12031,Duval County
FL,12033,Escambia County
FL,12035,Flagler County
FL,12037,Franklin County
FL,12039,Gadsden County
FL,12041,Gilchrist County
FL,12043,Glades County
FL,12045,Gulf County
FL,12047,Hamilton County
FL,12049,Hardee County
FL,12051,Hendry County
FL,12053,Hernando County
FL,12055,Highlands County
FL,12057,Hillsborough County
FL,12059,Holmes County
FL,12061,Indian River County
FL,12063,Jackson County
FL,12065,Jefferson County
FL,12067,Lafayette County
FL,12069,Lake County
FL,12071,Lee County
FL,12073,Leon County
FL,12075,Levy County
FL,12077,Liberty County
FL,12079,Madison County
FL,12081,Manatee County
FL,12083,Marion County
FL,12085,Martin County
FL,12086,Miami-Dade County
FL,12087,Monroe County
FL,12089,Nassau County
FL,12091,Okaloosa County
FL,12093,Okeechobee County
FL,12095,Orange County
FL,12097,Osceola County
FL,12099,Palm Beach County
FL,12101,Pasco County
FL,12103,Pinellas County
FL,12105,Polk County
FL,12107,Putnam County
FL,12109,St. Johns County
FL,12111,St. Lucie County
FL,12113,Santa Rosa County
FL,12115,Sarasota County
FL,12117,Seminole County
FL,12119,Sumter County
FL,12121,Suwannee County
FL,12123,Taylor County
FL,12125,Union County
FL,12127,Volusia County
FL,12129,Wakulla County
FL,12131,Walton County
FL,12133,Washington County
