state,county_fips,county_name,year,median_household_income,income_source
FL,12011,Broward County,2015,51968,ACS 2015 5-year B19013
FL,12011,Broward County,2016,52954,ACS 2016 5-year B19013
FL,12011,Broward County,2017,54895,ACS 2017 5-year B19013
FL,12011,Broward County,2018,57333,ACS 2018 5-year B19013
FL,12011,Broward County,2019,59547,ACS 2019 5-year B19013
FL,12011,Broward County,2020,60922,ACS 2020 5-year B19013
FL,12011,Broward County,2021,64522,ACS 2021 5-year B19013
FL,12011,Broward County,2022,70331,ACS 2022 5-year B19013
FL,12011,Broward County,2023,74534,ACS 2023 5-year B19013
FL,12011,Broward County,2024,77633,ACS 2024 5-year B19013
FL,12086,Miami-Dade County,2015,43129,ACS 2015 5-year B19013
FL,12086,Miami-Dade County,2016,44224,ACS 2016 5-year B19013
FL,12086,Miami-Dade County,2017,46338,ACS 2017 5-year B19013
FL,12086,Miami-Dade County,2018,48982,ACS 2018 5-year B19013
FL,12086,Miami-Dade County,2019,51347,ACS 2019 5-year B19013
FL,12086,Miami-Dade County,2020,53975,ACS 2020 5-year B19013
FL,12086,Miami-Dade County,2021,57815,ACS 2021 5-year B19013
FL,12086,Miami-Dade County,2022,64215,ACS 2022 5-year B19013
FL,12086,Miami-Dade County,2023,68694,ACS 2023 5-year B19013
FL,12086,Miami-Dade County,2024,71753,ACS 2024 5-year B19013
FL,12099,Palm Beach County,2015,53363,ACS 2015 5-year B19013
FL,12099,Palm Beach County,2016,55277,ACS 2016 5-year B19013
FL,12099,Palm Beach County,2017,57256,ACS 2017 5-year B19013
FL,12099,Palm Beach County,2018,59943,ACS 2018 5-year B19013
FL,12099,Palm Beach County,2019,63299,ACS 2019 5-year B19013
FL,12099,Palm Beach County,2020,65015,ACS 2020 5-year B19013
FL,12099,Palm Beach County,2021,68874,ACS 2021 5-year B19013
FL,12099,Palm Beach County,2022,76066,ACS 2022 5-year B19013
FL,12099,Palm Beach County,2023,81115,ACS 2023 5-year B19013
FL,12099,Palm Beach County,2024,83581,ACS 2024 5-year B19013
