state,county_fips,county_name,year,median_household_income,typical_home_value,home_value_to_income_ratio,income_source,home_value_source,home_value_year_method,zillow_months_available,notes
FL,12086,Miami-Dade County,2015,43129,242822.07,5.6301,ACS 2015 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2016,44224,266705.47,6.0308,ACS 2016 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2017,46338,285659.95,6.1647,ACS 2017 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2018,48982,303900.11,6.2043,ACS 2018 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2019,51347,316442.99,6.1628,ACS 2019 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2020,53975,333149.51,6.1723,ACS 2020 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2021,57815,376535.29,6.5128,ACS 2021 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2022,64215,458450.97,7.1393,ACS 2022 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2023,68694,500907.42,7.2919,ACS 2023 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
FL,12086,Miami-Dade County,2024,71753,537394.48,7.4895,ACS 2024 5-year B19013,Zillow ZHVI county,annual_mean_zhvi,12,V0 single-county case study
