state,county_fips,county_name,year,typical_home_value,median_household_income,home_value_to_income_ratio,zillow_months_available,zillow_data_status,home_value_source,home_value_year_method,income_source
FL,12001,Alachua County,2015,159898.67,43073,3.7123,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12001,Alachua County,2016,169945.18,44702,3.8017,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12001,Alachua County,2017,183486.13,45478,4.0346,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12001,Alachua County,2018,196693.83,49078,4.0078,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12001,Alachua County,2019,206298.5,49689,4.1518,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12001,Alachua County,2020,222412.68,50089,4.4403,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12001,Alachua County,2021,254136.36,53314,4.7668,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12001,Alachua County,2022,293518.92,57566,5.0988,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12001,Alachua County,2023,307502.27,59659,5.1543,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12001,Alachua County,2024,316681.56,61949,5.112,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12003,Baker County,2015,149560.51,47121,3.174,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12003,Baker County,2016,161840.63,53327,3.0349,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12003,Baker County,2017,171980.06,59506,2.8901,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12003,Baker County,2018,187037.14,61769,3.028,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12003,Baker County,2019,202757.63,63275,3.2044,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12003,Baker County,2020,221732.0,62299,3.5592,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12003,Baker County,2021,258401.77,63860,4.0464,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12003,Baker County,2022,303643.1,67872,4.4738,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12003,Baker County,2023,302208.0,70833,4.2665,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12003,Baker County,2024,308612.73,79836,3.8656,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12005,Bay County,2015,178874.58,47368,3.7763,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12005,Bay County,2016,188746.31,48577,3.8855,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12005,Bay County,2017,196481.96,50283,3.9075,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12005,Bay County,2018,212547.94,51829,4.1009,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12005,Bay County,2019,222192.41,54316,4.0907,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12005,Bay County,2020,246346.6,56483,4.3614,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12005,Bay County,2021,286115.59,60473,4.7313,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12005,Bay County,2022,351484.59,65999,5.3256,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12005,Bay County,2023,367311.09,70188,5.2332,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12005,Bay County,2024,363286.2,73533,4.9405,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12007,Bradford County,2015,110775.55,41606,2.6625,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12007,Bradford County,2016,118652.56,43373,2.7356,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12007,Bradford County,2017,125500.89,46106,2.722,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12007,Bradford County,2018,137300.3,46197,2.9721,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12007,Bradford County,2019,145520.48,45921,3.1689,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12007,Bradford County,2020,160292.38,43580,3.6781,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12007,Bradford County,2021,188512.12,48803,3.8627,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12007,Bradford County,2022,229053.43,54759,4.1829,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12007,Bradford County,2023,240952.6,59740,4.0334,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12007,Bradford County,2024,248939.63,63050,3.9483,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12009,Brevard County,2015,159631.04,48925,3.2628,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12009,Brevard County,2016,178448.91,49914,3.5751,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12009,Brevard County,2017,198867.75,51536,3.8588,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12009,Brevard County,2018,217667.11,54359,4.0043,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12009,Brevard County,2019,226873.4,56775,3.996,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12009,Brevard County,2020,241522.91,59359,4.0689,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12009,Brevard County,2021,284959.6,63632,4.4782,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12009,Brevard County,2022,351547.35,71308,4.93,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12009,Brevard County,2023,362220.53,75817,4.7776,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
