state,county_fips,county_name,year,typical_home_value,median_household_income,home_value_to_income_ratio,zillow_months_available,zillow_data_status,acs_data_status,affordability_data_status,home_value_source,home_value_year_method,income_source
DE,10001,Kent County,2015,199265.6,54976,3.6246,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
DE,10001,Kent County,2016,207846.86,55184,3.7664,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
DE,10001,Kent County,2017,213062.2,57647,3.696,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
DE,10001,Kent County,2018,220202.2,58775,3.7465,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
DE,10001,Kent County,2019,231577.43,60910,3.802,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
DE,10001,Kent County,2020,246739.06,60117,4.1043,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
DE,10001,Kent County,2021,285268.03,63715,4.4773,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
DE,10001,Kent County,2022,322785.98,69278,4.6593,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
DE,10001,Kent County,2023,339460.37,72872,4.6583,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
DE,10001,Kent County,2024,356784.61,74477,4.7905,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
DE,10003,New Castle County,2015,220132.71,65476,3.362,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
DE,10003,New Castle County,2016,233045.05,66283,3.5159,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
DE,10003,New Castle County,2017,244268.65,68336,3.5745,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
DE,10003,New Castle County,2018,251456.36,70996,3.5418,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
DE,10003,New Castle County,2019,256476.35,73892,3.471,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
DE,10003,New Castle County,2020,262087.53,75275,3.4817,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
DE,10003,New Castle County,2021,295095.01,78428,3.7626,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
DE,10003,New Castle County,2022,321713.68,85309,3.7712,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
DE,10003,New Castle County,2023,338174.08,89901,3.7616,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
DE,10003,New Castle County,2024,355060.82,91166,3.8947,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
DE,10005,Sussex County,2015,295984.39,53751,5.5066,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
DE,10005,Sussex County,2016,303581.57,54218,5.5993,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
DE,10005,Sussex County,2017,316566.45,57901,5.4674,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
DE,10005,Sussex County,2018,323994.76,60853,5.3242,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
DE,10005,Sussex County,2019,335637.71,63162,5.3139,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
DE,10005,Sussex County,2020,350925.97,64905,5.4068,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
DE,10005,Sussex County,2021,418331.72,68886,6.0728,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
DE,10005,Sussex County,2022,483636.32,75406,6.4138,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
DE,10005,Sussex County,2023,491084.9,78162,6.2829,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
DE,10005,Sussex County,2024,492890.62,81497,6.048,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12001,Alachua County,2015,159898.67,43073,3.7123,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12001,Alachua County,2016,169945.18,44702,3.8017,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12001,Alachua County,2017,183486.13,45478,4.0346,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12001,Alachua County,2018,196693.83,49078,4.0078,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12001,Alachua County,2019,206298.5,49689,4.1518,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12001,Alachua County,2020,222412.68,50089,4.4403,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12001,Alachua County,2021,254136.36,53314,4.7668,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12001,Alachua County,2022,293518.92,57566,5.0988,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12001,Alachua County,2023,307502.27,59659,5.1543,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12001,Alachua County,2024,316681.56,61949,5.112,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12003,Baker County,2015,149560.51,47121,3.174,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12003,Baker County,2016,161840.63,53327,3.0349,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12003,Baker County,2017,171980.06,59506,2.8901,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12003,Baker County,2018,187037.14,61769,3.028,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12003,Baker County,2019,202757.63,63275,3.2044,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12003,Baker County,2020,221732.0,62299,3.5592,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12003,Baker County,2021,258401.77,63860,4.0464,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12003,Baker County,2022,303643.1,67872,4.4738,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12003,Baker County,2023,302208.0,70833,4.2665,12,complete_12_months,available,available_complete,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
