county_fips,county_name,year,typical_home_value,median_household_income,personal_income,home_value_to_income_ratio,typical_home_value_index_2015,median_household_income_index_2015,personal_income_index_2015,affordability_ratio_index_2015,home_value_growth_minus_personal_income_growth
12086,Miami-Dade County,2015,241982.36,43129,117580298000,5.6107,100.0,100.0,100.0,100.0,0.0
12086,Miami-Dade County,2016,265783.17,44224,118217501000,6.0099,109.8358,102.5389,100.5419,107.115,9.2939
12086,Miami-Dade County,2017,284672.11,46338,131018638000,6.1434,117.6417,107.4405,111.4291,109.4944,6.2126
12086,Miami-Dade County,2018,302849.18,48982,143041608000,6.1829,125.1534,113.5709,121.6544,110.1984,3.499
12086,Miami-Dade County,2019,315348.69,51347,149596954000,6.1415,130.3189,119.0545,127.2296,109.4605,3.0893
12086,Miami-Dade County,2020,331997.44,53975,152086751000,6.1509,137.199,125.1478,129.3471,109.628,7.8519
12086,Miami-Dade County,2021,375233.19,57815,174624719000,6.4902,155.0663,134.0513,148.5153,115.6754,6.551
12086,Miami-Dade County,2022,456865.59,64215,192276032000,7.1146,188.8012,148.8905,163.5274,126.8041,25.2738
12086,Miami-Dade County,2023,499175.22,68694,209804988000,7.2666,206.2858,159.2757,178.4355,129.5133,27.8503
12086,Miami-Dade County,2024,535536.1,71753,223009590000,7.4636,221.312,166.3683,189.6658,133.0244,31.6462
