year,name,median_household_income,state_fips,county_fips_short,county_fips,source
2015,"Miami-Dade County, Florida",43129,12,086,12086,ACS 2015 5-year B19013
2016,"Miami-Dade County, Florida",44224,12,086,12086,ACS 2016 5-year B19013
2017,"Miami-Dade County, Florida",46338,12,086,12086,ACS 2017 5-year B19013
2018,"Miami-Dade County, Florida",48982,12,086,12086,ACS 2018 5-year B19013
2019,"Miami-Dade County, Florida",51347,12,086,12086,ACS 2019 5-year B19013
2020,"Miami-Dade County, Florida",53975,12,086,12086,ACS 2020 5-year B19013
2021,"Miami-Dade County, Florida",57815,12,086,12086,ACS 2021 5-year B19013
2022,"Miami-Dade County, Florida",64215,12,086,12086,ACS 2022 5-year B19013
2023,"Miami-Dade County, Florida",68694,12,086,12086,ACS 2023 5-year B19013
2024,"Miami-Dade County, Florida",71753,12,086,12086,ACS 2024 5-year B19013
